date,open,high,low,close,volume,ticker
2024-12-09,7787.6,7937.35,7737.0,7842.05,302682.0,Quantrex
2024-12-10,7860.0,7900.0,7786.2,7890.4,256135.0,Quantrex
2024-12-11,7890.4,7922.0,7840.0,7871.0,172453.0,Quantrex
2024-12-12,7877.95,7960.0,7830.0,7916.25,192747.0,Quantrex
2024-12-13,7915.0,7949.85,7791.95,7884.85,133010.0,Quantrex
2024-12-16,7905.25,8035.95,7884.6,7968.95,244346.0,Quantrex
2024-12-17,7950.5,7997.6,7775.0,7790.65,246593.0,Quantrex
2024-12-18,7824.95,7883.6,7630.0,7667.0,238006.0,Quantrex
2024-12-19,7550.0,7668.5,7490.05,7632.15,178762.0,Quantrex
2024-12-20,7705.0,7713.35,6821.8,6868.9,1664863.0,Quantrex
2024-12-23,6860.05,6909.8,6642.5,6820.75,890336.0,Quantrex
2024-12-24,6810.0,6819.75,6580.05,6654.9,803122.0,Quantrex
2024-12-26,6660.0,6740.0,6642.05,6705.55,287081.0,Quantrex
2024-12-27,6700.05,6765.0,6522.25,6546.0,268038.0,Quantrex
2024-12-30,6580.0,6696.0,6390.25,6433.6,1203625.0,Quantrex
2024-12-31,6467.85,6607.25,6429.05,6536.05,436081.0,Quantrex
2025-01-01,6550.0,6653.5,6502.85,6635.15,233030.0,Quantrex
2025-01-02,6699.0,6714.9,6565.0,6698.5,391741.0,Quantrex
2025-01-03,6720.0,6740.0,6596.35,6609.7,296315.0,Quantrex
2025-01-06,6628.8,6633.45,6425.5,6473.2,287222.0,Quantrex
2025-01-07,6492.6,6547.1,6425.05,6482.15,309990.0,Quantrex
2025-01-08,6474.05,6493.75,6234.6,6296.65,537373.0,Quantrex
2025-01-09,6297.3,6415.9,6207.55,6240.3,341480.0,Quantrex
2025-01-10,6229.9,6254.6,6067.0,6104.8,378323.0,Quantrex
2025-01-13,6079.05,6079.45,5780.0,5803.3,330178.0,Quantrex
2025-01-14,5816.0,5899.9,5768.85,5863.45,339149.0,Quantrex
2025-01-15,5895.0,5916.7,5797.0,5808.5,297367.0,Quantrex
2025-01-16,5873.45,6043.7,5866.05,6010.05,343454.0,Quantrex
2025-01-17,6010.0,6210.0,5943.05,6183.25,359311.0,Quantrex
2025-01-20,6190.0,6216.25,6113.0,6136.45,89443.0,Quantrex
2025-01-21,6141.0,6160.0,5912.65,5923.6,206995.0,Quantrex
2025-01-22,5959.9,5979.85,5780.0,5856.45,237139.0,Quantrex
2025-01-23,5879.95,6133.0,5878.85,6067.85,240349.0,Quantrex
2025-01-24,6050.0,6067.0,5834.2,5879.7,247172.0,Quantrex
2025-01-27,5860.0,5860.0,5680.0,5787.35,195980.0,Quantrex
2025-01-28,5932.95,5965.5,5600.0,5684.35,348907.0,Quantrex
2025-01-29,5690.0,5845.0,5658.0,5824.55,167518.0,Quantrex
2025-01-30,5841.0,5942.95,5792.75,5874.75,295210.0,Quantrex
2025-01-31,5920.0,6100.0,5873.5,6073.35,409813.0,Quantrex
2025-02-01,6128.0,6146.0,5650.0,5748.25,508897.0,Quantrex
2025-02-03,5752.0,5770.0,5182.35,5225.9,1731436.0,Quantrex
2025-02-04,5295.0,5435.0,5247.85,5420.55,1116985.0,Quantrex
2025-02-05,5461.45,5636.0,5437.35,5580.5,550628.0,Quantrex
2025-02-06,5640.0,5707.7,5582.0,5641.0,410310.0,Quantrex
2025-02-07,5688.0,5700.0,5448.0,5505.5,396057.0,Quantrex
2025-02-10,5505.05,5548.5,5333.05,5349.25,338237.0,Quantrex
2025-02-11,5360.05,5380.0,5145.75,5204.85,501463.0,Quantrex
2025-02-12,5200.0,5294.9,5007.0,5199.15,809497.0,Quantrex
2025-02-13,5100.0,5297.3,5019.05,5105.25,1080831.0,Quantrex
2025-02-14,5110.0,5157.7,4946.65,4990.85,329443.0,Quantrex
2025-02-17,4946.95,4981.75,4789.15,4859.3,797168.0,Quantrex
2025-02-18,4908.75,4938.35,4752.65,4843.65,514204.0,Quantrex
2025-02-19,4810.0,4988.0,4772.7,4954.9,663780.0,Quantrex
2025-02-20,4948.0,5037.85,4893.1,5025.9,439939.0,Quantrex
2025-02-21,5010.0,5059.45,4856.1,4921.35,457327.0,Quantrex
2025-02-24,4896.9,4897.0,4771.55,4872.9,561835.0,Quantrex
2025-02-25,4886.0,4932.6,4812.5,4837.75,288010.0,Quantrex
2025-02-27,4840.85,4867.75,4658.65,4686.65,376628.0,Quantrex
2025-02-28,4650.0,4710.0,4581.0,4623.5,539772.0,Quantrex
2025-03-03,4629.95,4861.0,4566.0,4836.7,475900.0,Quantrex
2025-03-04,4739.55,4969.2,4739.55,4931.9,582431.0,Quantrex
2025-03-05,4931.9,5131.95,4931.9,5085.75,732603.0,Quantrex
2025-03-06,5145.0,5268.25,5085.8,5160.3,848811.0,Quantrex
2025-03-07,5161.0,5173.75,5045.6,5106.1,587581.0,Quantrex
2025-03-10,5106.1,5142.3,4950.0,4974.55,332612.0,Quantrex
2025-03-11,4900.0,4984.45,4852.0,4942.05,522140.0,Quantrex
2025-03-12,4989.4,5009.1,4810.55,4905.75,244678.0,Quantrex
2025-03-13,4949.0,5087.3,4891.6,4927.9,408699.0,Quantrex
2025-03-17,4975.0,4994.5,4888.55,4936.45,255414.0,Quantrex
2025-03-18,4968.7,5116.2,4949.2,5107.6,259115.0,Quantrex
2025-03-19,5128.0,5252.25,5092.95,5224.5,502007.0,Quantrex
2025-03-20,5260.0,5268.8,5111.0,5194.1,321720.0,Quantrex
2025-03-21,5200.9,5310.0,5174.9,5200.65,737413.0,Quantrex
2025-03-24,5265.0,5344.65,5205.0,5223.2,352590.0,Quantrex
2025-03-25,5250.0,5284.7,5108.0,5119.1,234410.0,Quantrex
2025-03-26,5300.0,5520.0,5201.0,5418.25,2780253.0,Quantrex
2025-03-27,5420.0,5440.0,5300.0,5314.15,633130.0,Quantrex
2025-03-28,5342.0,5347.0,5182.2,5275.35,705476.0,Quantrex
2025-04-01,5240.0,5355.0,5200.0,5229.95,329971.0,Quantrex
2025-04-02,5230.0,5301.0,5142.0,5282.85,372359.0,Quantrex
2025-04-03,5201.0,5324.0,5201.0,5248.55,397529.0,Quantrex
2025-04-04,5287.45,5287.45,4851.05,4928.15,1097495.0,Quantrex
2025-04-07,2450.0,3087.0,2450.0,2812.45,2716014.0,Quantrex
2025-04-08,2938.35,3031.0,2750.0,2763.45,2603929.0,Quantrex
2025-04-09,2789.0,2791.95,2667.8,2715.85,866126.0,Quantrex
2024-09-02,3565.15,3601.95,3552.0,3587.55,718800.0,Fintrix
2024-09-03,3587.55,3634.9,3560.15,3621.15,1112614.0,Fintrix
2024-09-04,3586.1,3617.5,3568.2,3607.7,529856.0,Fintrix
2024-09-05,3616.6,3753.95,3600.4,3722.85,3437885.0,Fintrix
2024-09-06,3714.95,3742.0,3665.0,3695.5,1408795.0,Fintrix
2024-09-09,3690.1,3724.45,3653.75,3684.55,923357.0,Fintrix
2024-09-10,3704.0,3750.0,3666.0,3727.4,1109078.0,Fintrix
2024-09-11,3731.9,3743.5,3700.1,3711.1,831810.0,Fintrix
2024-09-12,3736.0,3774.0,3711.1,3764.25,1337327.0,Fintrix
2024-09-13,3777.0,3799.85,3740.0,3767.0,1003355.0,Fintrix
2024-09-16,3768.0,3789.0,3735.4,3740.65,386602.0,Fintrix
2024-09-17,3759.9,3777.0,3727.3,3767.4,392339.0,Fintrix
2024-09-18,3769.0,3786.0,3708.0,3725.35,420638.0,Fintrix
2024-09-19,3750.0,3795.0,3741.1,3780.95,945257.0,Fintrix
